average-price,timestamp
45282.9374224906,2022-04-01T12:39:00Z
45226,2022-04-01T12:39:00Z
45300.7507718723,2022-04-01T12:40:00Z
45300.9279151943,2022-04-01T12:40:00Z
45279.0338370606,2022-04-01T12:41:00Z
45305.6243553009,2022-04-01T12:41:00Z
45316,2022-04-01T12:41:00Z
45204.6954312709,2022-04-01T12:42:00Z
45155.8176501961,2022-04-01T12:43:00Z
45151.9680533267,2022-04-01T12:43:00Z
45126,2022-04-01T12:43:00Z
45173.0243705041,2022-04-01T12:44:00Z
45168.0827067669,2022-04-01T12:44:00Z
45207.4311670726,2022-04-01T12:45:00Z
45159.9062709903,2022-04-01T12:46:00Z
45161,2022-04-01T12:46:00Z
45177.688588182,2022-04-01T12:47:00Z
45177.5557345462,2022-04-01T12:48:00Z
45171.5,2022-04-01T12:48:00Z
45171.4841674158,2022-04-01T12:48:00Z
45171.4870010372,2022-04-01T12:49:00Z
45177.2643714286,2022-04-01T12:49:00Z
45127.5486107494,2022-04-01T12:50:00Z
45124.6785714286,2022-04-01T12:50:00Z
45172.8476950409,2022-04-01T12:51:00Z
45180.6,2022-04-01T12:51:00Z
45182.8698948166,2022-04-01T12:51:00Z
45249.0303710876,2022-04-01T12:52:00Z
45197.6334705781,2022-04-01T12:52:00Z
45251.9677794233,2022-04-01T12:53:00Z
45248.6498396645,2022-04-01T12:54:00Z
45226.2170923379,2022-04-01T12:54:00Z
45229.7092118173,2022-04-01T12:55:00Z
45218,2022-04-01T12:55:00Z
45263.9727149378,2022-04-01T12:56:00Z
45232.6206896552,2022-04-01T12:56:00Z
45273.9600982412,2022-04-01T12:57:00Z
45274.8,2022-04-01T12:57:00Z
45249.2213503371,2022-04-01T12:57:00Z
45277.6675852582,2022-04-01T12:58:00Z
45266,2022-04-01T12:58:00Z
45298.2251076228,2022-04-01T12:59:00Z
45322.2674452144,2022-04-01T13:00:00Z
45273.0068005181,2022-04-01T13:00:00Z
45349.7894053362,2022-04-01T13:01:00Z
45371.8702852156,2022-04-01T13:02:00Z
45373.0400490924,2022-04-01T13:02:00Z
45377.6944224736,2022-04-01T13:03:00Z
45362,2022-04-01T13:03:00Z
45385.5311860926,2022-04-01T13:04:00Z
45377,2022-04-01T13:04:00Z
45390.6789024666,2022-04-01T13:05:00Z
45376.2203631185,2022-04-01T13:05:00Z
45375.5787371456,2022-04-01T13:06:00Z
45389.4620727307,2022-04-01T13:07:00Z
45360,2022-04-01T13:07:00Z
45334.4408648794,2022-04-01T13:08:00Z
45429.977624254,2022-04-01T13:08:00Z
45308.9232436503,2022-04-01T13:09:00Z
45314.5464973372,2022-04-01T13:09:00Z
45314.4039886353,2022-04-01T13:10:00Z
45320,2022-04-01T13:10:00Z
45297.5549158444,2022-04-01T13:11:00Z
45317,2022-04-01T13:11:00Z
45321.705057228,2022-04-01T13:12:00Z
45328.3386826968,2022-04-01T13:13:00Z
45332,2022-04-01T13:13:00Z
45331.3333333333,2022-04-01T13:13:00Z
45351.7993958554,2022-04-01T13:14:00Z
45349.3018259936,2022-04-01T13:14:00Z
45356.5726776917,2022-04-01T13:15:00Z
45353.1288913162,2022-04-01T13:15:00Z
45403.4040002996,2022-04-01T13:16:00Z
45369,2022-04-01T13:16:00Z
45453.5608764585,2022-04-01T13:17:00Z
45462.4,2022-04-01T13:17:00Z
45466.9057591623,2022-04-01T13:17:00Z
45476.1485413296,2022-04-01T13:18:00Z
45531.4390059642,2022-04-01T13:18:00Z
45492.4755747279,2022-04-01T13:19:00Z
45492.4546553809,2022-04-01T13:19:00Z
45478.5177803073,2022-04-01T13:20:00Z
45501,2022-04-01T13:20:00Z
45478.8495028545,2022-04-01T13:21:00Z
45499.6725082147,2022-04-01T13:21:00Z
45472.6150711344,2022-04-01T13:22:00Z
45481,2022-04-01T13:22:00Z
45494.5232384127,2022-04-01T13:23:00Z
45503.8130841121,2022-04-01T13:23:00Z
45495.0819415969,2022-04-01T13:24:00Z
45493.4169523216,2022-04-01T13:24:00Z
45464.4634803861,2022-04-01T13:25:00Z
